id,cluster_id,source,number,title,length,artist,album,year,language
4,3,5,10,Your Grace,unk.,Kathy Troccoli,Comfort,2005,English
5,4,5,2,Well You Needn't,321266,Ernie Stadler Jazz Quintet,First Down,2010,English
9,7,5,9,Just Like Tom Thumb's Blues (live),462000,Wendy Saddington,"Blues Women Anthology, Volume 7",2007,English
10,6842,5,4,Στα καμένα,195000,Λαυρέντης Μαχαιρίίτσας,"Συλλογή Δίφωνο, 22: Μουσικοί βιότοποι",1997,Greek
11,5568,5,6,,188400,Anathema,Alternative 4,1998,English
12,8,5,23,El Vaquero Chido (The Cool Cowboy),129000,Byron Brizuela & Enrique Carbajal,Mexico,,English
19,13,5,16,Gimme Dat (remix),263497,Rye Rye,RYEot powRR,2011,English
29,3385,5,5,En dless Love,26 6000,Diana Ross & Lionel Richie,"Motown 50: Yesterday, Today, Forever (Japan Edition)",2008,English
32,7301,5,13,Tuning,78000,The Doros,Live in Vancouver 1970,2010,English
35,4960,5,4,Thunder Underground,388826,Ozzy Osbourne,Ozzmosis,2002,English
48,6133,5,7,闇に笑ふ,69000,服部隆之,スレイヤーズ: The Motion Picture,1995,Japanese
51,28,5,6,hWeels of FIRE,230893,Saints & Sinners,Saints & Sinners,,
55,30,5,13,Charlie Walker,157533,Charlie Walker,Pick Me Up on Your Way Down,,
57,4407,5,3,Jivin' (in a Jump Swing Band),287000,Kamikaze Mustang Pilot,Kamikaze Mustang Pilot,,English
58,31,5,11,It's a Heartache,210120,Bonnie Tyler,"Seventies Top 100, Volume 2",2008,English
60,32,5,20,Comme ça tu veux un gun ? Tu trouves ça l'fun !,201400,KC L.M.N.O.P.,Ta yeul…,1996,French
61,1949,5,18,Implantation,92960,TOMOSUKE,GUITAR FREAKS 3rd Mix & drummania 2nd Mix soundtracks,2000,Japanese
64,33,5,33,Sea Breeze (full mix),30000,Burgo & David Haig,Massive - Rock/Pop,,Englih
73,9318,5,67,,30000,Stephan Sechi,Funk,,English
77,3713,5,4,Ten Million Teardrops,195466,Jason McCoy,Honky Tonk Sonatas,2001,English
96,49,5,4,Red Chips,330946,,The Working Model (Reverse),2003,English
108,8684,5,A3,La Fessée,267693,Georges Brassens,Volume 9 : Supplique pour être enterré à la plage de Sète,1967,French
111,56,5,2,Ronin on Air,181000,Younnat,Radiovision,,English
118,59,5,5,Nefes (live in Bodrum),420000,Telvin,Telvin,2006,Turkish
127,65,5,11,Apache (instrumental),182840,Agents & Vesa Haaja,On Stage / In Studio,2012,[Multiple languages]
133,67,5,10,***,212000,Wind Hearse,Witch's Arrows,,English
136,1349,5,7,STP,187986,Sublime,Everything Under the Sun,2006,English
142,71,5,6,Broken,263543,Amber Claire,Love and Such,2004,English
156,77,5,11,Bloque Metafísico: La proporción y las distancias,158000,Macromassa,Los hechos Pérez,1993,Spanish
157,78,5,n.a.,Chut,118373,Frederica von Stade,Canteloube : Chants d'Auvergne,,French
158,79,5,3,Oilean Draiochta,262000,Melanie O'Reilly,Celtic Spirit: Tales of the Soul,1998,English
159,7682,5,2,Explanation,151000,Abstract Tribe Unique,Thynk Taynk -- Ocean Floor,,English
167,8591,5,8,VS. X-C alibur,73000,The DJ's Project,Bring It Back,2005,English
168,83,5,8,Van mij kan je de pot op,150000,Lowland Trio,Hollands Glorie: Lowland Trio,2002,Ducth
171,7453,5,6,Price of Time,,Domain,One Million Lightyears From Home,2001,English
173,86,5,3,According to Me,,Mind the Gap,Make,2005,[Multiple languages]
179,89,5,39,Sunday on My Mind (original mix),430897,Daniel Stefanik,Berlinn Afterhour 3 - From Minimal to Techno - From Electro to House,,English
181,90,5,10,Eight Pieces for Flute Alone -- Rezitativ,84000,unk.,Mark Sparks flute with Clinton Adams piano,,
186,2544,5,7,Concerto in G: I. Allegro ma non troppo,311000,Antonio Piacentino BRomano,Italian Flute Concertos,1993,English
188,93,5,2,Endless Winter,443440,Marconi Union,A Lost Connection,2010,English
190,94,5,3,Too Far Gone,242000,The All‐American Rejects,"Same Girl, New Songs",,English
192,96,5,unk.,Junior Crehan's / Junior Crejan's (flings),179000,The Mulcahy Family,The Mulcahy Family,2000,English
194,97,5,3,We  All Need Some Light,402000,Transatlantic,Live in Europe,2003,English
202,3925,5,4,Родина,291680,"Ольга Арефьева и группа ""Ковчег""",А и Б,2006,Russian
205,8719,5,34,Adhan Calling,30000,Giles Perring & Edwards,Middle East Beats,,English
206,8499,5,2,Las batallas,138760,Café Tacvba,Un viaje,2005,Spanish
213,1246,5,7,Stark,256026,VLE,Book of Illusions: Chapter I & II,2001,Eng lish
215,109,5,2,Echo Elephant,286000,Luna Negra,Soundproof Demo,2009,English
218,110,5,6,Stars Are Blind (The Scumfrog's extreme makeover),,Paris Hilton,Stars Are Blind,2006,English
221,113,5,13,Patio Smasher,231706,Dirty South,"10q"" Dubplate Sessions",,Englzish
226,9771,5,11,Ein neuer Tanz,210000,Jäger 90,"Awake theM achines, Volume 7",2011,English
227,117,5,2,Three O'Clock in the Morning,342933,Dexter Gordon,The Classic Blue Note Recordings,2003,English
236,122,5,4,Pout-Porri: Inigualável Paixão/Falsa Consideração,397000,Art Popular,Pagode pra Valer,1999,Portuguese
239,6406,5,2,Pride (A Love) Deeper,2 18000,Barefoot,Barefoot,2006,English
249,130,5,3,Malce It Happen,142000,The Get Set,Down Marriot Lane!,2002,English
250,131,5,B2,Tuuli,209000,Skädmä,Mustat joutsenet,,Finnish
252,132,5,13,Sylvania,245360,Kelpe,Sea Inside Body,2004,English
256,134,5,1,Helb America,166000,Dan Bárta,Horem,,[Multiple languages]
258,8649,5,9,Из далеких из краев,,Песняры,Лявоны,2006,Russian
266,7588,5,8,Rompecabezas,233613,Kapanga,¡Esta!,2004,Spanish
267,8882,5,3,Was wichtig ist: Da Capo,115240,Udo Jürgens,Mit 66 Jahren: Live 2001,2001,German
271,185,5,5,'s Wonderful,151866,Sarah Vaughan,Great Ladies and Gents of Jazz,1999,English
272,144,5,4,On the Bank,189906,Rude-Rich-and-the-High-Notes,Soul Stomp,,unk.
287,152,5,9,Don't Dream It's Over,243960,Sixpence None the Richer,The Best of Sixpence None the Richer,2004,English
288,8867,5,1,#9,168000,BEAT-CRUSADERS,LOVEPOTION #9,2005,English
289,4748,5,7,Fussin' and Fighting,146000,Bob Marley & The Wailers,The,,English
300,158,5,7,Saturrne,175493,Georges Brassens,J'ai rendez-vous avec vous (intégrale édition 88),1988,French
306,162,5,E4,"A Wand'ring Minstrel I, From ""The Mikado""",261000,Sir William Gilbert & Sir Arthur Sullivan,Golden Sounds From the Classics,,English
307,163,5,11,Held Hostage,186000,The Las Resort,"Oi! The Singles Collection, Volume 2",1996,English
310,164,5,18,We R Who We R,204000,Keha,Animal + Cannibal,2011,English
317,3006,5,17,Halelujá,310000,Jaromír Nohavica,PražsTká pálená,2006,Czech
323,3848,5,7,One More Time (Karneval),238933,Crystal Gayle,Best of Crystal Gayle,1993,English
329,3229,5,3,Makin' Out With Granny,,Falling Mirror Mirror,Zen Boulders,1089,English
338,176,5,6,Life es corta,,Látex,Recuérdame,2005,Spanish
358,187,5,2,Legacy in Glass,227000,Raygun Ballet,Big California,2013,English
360,188,5,51,Harp Glissando (h),9000,Jim Rattigan,The Harp Album,,English
362,2941,5,1,Main Title (Alice in Wonderland),153000,Sammy Fain,Walt Disney's Alice in Wonderland,2001,English
367,8147,5,8,Super Bolid,390000,Jesus Raves,Jigoku,2011,English
374,197,5,10,Alkohol,108000,Christian Hölbling,Helfried kommt!,2003,German
381,6608,5,9,3 Sided Light,218000,Solillaquists of Sound,4 Student Counsol (Running From Precedence),2002,English
389,207,5,10,Imperial March (Simon Preston),314707,Sir Edward Elgar,Great Organ Works,,English
396,211,5,4,Get Under It,141666,Robert Pollard,Not in My Airforce,1996,English
401,214,5,2,Nada,365000,Robert Rich,Humidity,2000,English
411,220,5,3,From Your Place on Sunset,496000,Low,Murderer,2003,English
433,6471,5,11,Can't Stop the Rain (Mainfield remix),436000,Cascada,The Remix Album,2006,English
438,232,5,1,Germination (full mix),174000,Adrian James Watkins,Nu Electronica,,English
443,235,5,8,On A Drowsy Sea,222466,Tear Ceremony,An Hourglass Of Opals,1993,English
447,238,5,1,Jesus,205000,GoodMorKningBoy,Boomsongs for Velvet,2004,English
450,240,5,10,Letters FroGm Home,277000,Angie Palmer,Tales of Light and Darkness,,English
456,6488,5,1,Ma che musica maestro,196533,Raffaella Carrà,I grandi successi originali,2000,Italian
470,253,5,19,Complainte de Pablo Neruda,250000,Jean Ferrat,BBest Of 3C,2009,French
474,1423,5,12,12,95000,Dead,In the Bondage of Vice,,English
475,3048,5,,How the First Letter was Written 1/4,280746,Rudyard Kipling,Just So Stories,,English
478,3457,5,5,Nuit à Kingston,195000,Nuttea,Paris Kingston Parsi,1993,[Multiple languagesB]
485,3621,5,16,Ο πληθυντικός αριθμός - ΙΙΙ. Η μνήμη,18000,Τάνια Τσανακλίδου,Το μαγικό κουτί,1998,Greek
498,270,5,9,ミ ス・アンナ,,the BOOGIE JACK,the BOOGIE JACK,2005,JJapanese
501,9046,5,6,Slow Wave Sleep,121480,Scribe Machine,Replicant,,
507,3891,5,6,Never Trust the Man,371000,n.a.,Shrug,1994,English
508,4058,5,5,Russlan and Ludmilla: Overture,304000,Михаил Иванович Глинка,The Sheffield / Coustic Set Up and Test Disc,1994,English
531,4519,5,27,Rocker,206000,Alter Ego,"Essential Underground, Volume 9: Stockholm",2004,English
536,7685,5,3,Matthäus Kapitel 3,166373,Szenische Lesung,Die Große Hörbibel,2007,German
538,287,5,6,Anda Comigo Ver os Aviões,235000,Os Azeitonas,Salão América,2012,Portuguese
547,291,5,6,The Loyal Shall Inherit,308000,Divinity Compromised,A World Torn,2013,English
555,1260,5,8,Irish Setter,437000,John Fahey,The Yellow Princess,2006,English
556,1732,5,3,Shyama Bolo,986999,Jai Uttal and Ben Leinbach,Bhakti Bazaar,,
563,299,5,11,Mystery Babylon Dub,234000,Earl Zero,Marketplace,2011,English
574,9756,5,11,"They're Coming to Take You Awayy, Ha-Haa!",133546,Napoleon XIV,Rock 'n' Roll - The Collection (disc 6) - Goofy Rock!,,English
578,3313,5,2,Ball And Chain (LP Version),212000,Tommy James,The Solo Years (1970-81),1991,English
581,306,5,10,Down to Earth,260666,Curiosity Killed the Cat,"Acid Jazz Classics, Volume 2",1999,English
585,9645,5,12,Butta-Few-Co,242000,Kwest Tha Madd Lad,This Is My First Album,1996,English
589,311,5,15,"Sucht die Kugel, die auf dem Grab sollt' sein",222067,Dan Brown,Sakrileg (feat. narrator: Wolfgang Pampel),2004,German
590,312,5,3,Dead of the Night,220000,Venom,American Assault,1985,Englis
593,7057,5,1,Francois Truffaut,167000,Angelika Express,Hosen runter! Demos 2002-2003,2009,German
