name,phone,address,zip,cuisine,website,id,road_name,road_dir,road_number,city
Glenn's Diner,(773) 506-1720,"1820 W. Montrose Avenue, Chicago",60613,"American,Seafood",,zomato_2_32,1St,,95.0,new york
Dunlays on Clark,(773) 883-6000,"2600 N. Clark Street, Chicago",60614,American,,zomato_2_57,,,,
The Reservoir,(773) 275-4000,844 W. Montrose Avenue,60613,Bar Food,,zomato_2_85,,,,
Prosecco,(312) 951-9500,"710 N. Wells Street, Chicago",60610,Italian,,zomato_2_97,,,,
Irazu,(773) 252-5687,"1865 N. Milwaukee Avenue, Chicago",60647,Latin American,,zomato_2_98,,,,
Gather,(773) 506-9300,"4539 N. Lincoln Avenue, Chicago",60625,American,,zomato_2_101,Bleecker,,270.0,new york
Ceres' Table,(773) 922-4020,"3124 N. Broadway Street, Chicago",60657,Italian,,zomato_2_113,,,,
Falafel & Grill,(773) 292-8888,"1317 N. Milwaukee Avenue, Chicago",60622,"Mediterranean,Middle Eastern",,zomato_2_123,,,,
Dinosaur Bar-B-Que,(312) 462-1053,923 W. Weed Street,60642,"American,BBQ",,zomato_2_134,,,,
Chicago's Dog House,(773) 248-3647,"816 W. Fullerton Avenue, Chicago",60614,"Fast Food,American",,zomato_2_135,,,,
Smoke Daddy,(773) 772-6656,"1804 W. Division Street, Chicago",60622,"American,BBQ",,zomato_2_143,,,,
Emperor's Choice,(312) 225-8800,"2238 S. Wentworth Avenue, Chicago",60616,"Asian,Chinese",,zomato_2_163,,,,
Tre Soldi,(312) 664-0212,"212 E. Ohio Street, Chicago",60611,"Italian,Pizza",,zomato_2_165,,,,
Dove's Luncheonette,(773) 645-4060,"1545 N. Damen Avenue, Chicago",60622,"Mexican,Southern",,zomato_2_172,,,,
Uncommon Ground,(773) 929-3680,"3800 N. Clark Street, Chicago",60613,American,,zomato_2_187,,,,
Viaggio Ristorante & Lounge,(312) 829-3333,"1330 W. Madison Street, Chicago",60607,Italian,,zomato_2_195,,,,
TAC Quick Thai Kitchen,(773) 327-5253,"3930 N. Sheridan Road, Chicago",60613,"Asian,Thai",,zomato_2_204,,,,
Sultan's Market,(773) 235-3072,"2057 W. North Avenue, Chicago",60647,Middle Eastern,,zomato_2_209,Forsyth,,28.0,new york
Machu Picchu Restaurant,(773) 472-0471,"3856 N. Ashland Avenue, Chicago",60613,Peruvian,,zomato_2_213,,,,
Lito's Empanadas,(773) 857-1337,"2566 N. Clark Street, Chicago",60614,Latin American,,zomato_2_263,,,,
Mott Street,(773) 687-9977,"1401 N. Ashland Avenue, Chicago",60622,"Asian,New American",,zomato_2_277,,,,
Rub's Backcountry Smokehouse,(773) 675-1410,"6954 N. Western Avenue, Chicago",60645,BBQ,,zomato_2_283,,,,
The Local Chicago,(312) 280-8887,"198 E. Delaware Plaza, Chicago",60611,American,,zomato_2_325,,,,
Uncle Mike's Place,(312) 226-5318,"1700 W. Grand Avenue, Chicago",60622,"Diner,American,Sandwich",,zomato_2_330,Grove,,61.0,new york
Joy's Noodles and Rice,(773) 327-8330,"3257 N. Broadway Street, Chicago",60657,Thai,,zomato_2_331,,,,
Quartino,(312) 698-5000,"626 N. State Street, Chicago",60654,"Italian,Pizza",,zomato_2_332,,,,
Ara On,(312) 781-7300,"160 W. Adams Street, Chicago",60603,"French,Asian,Sushi",,zomato_2_337,,,,
