name,address,zip,phone,website,cuisine,id,road_name,road_dir,road_number,city
shanghai asian manor,"21 Mott St # A,New York",10013,(212) 766-6311,http://shanghaiasianmanor.com;http://shanghaiasiancuisine.com,Chinese Restaurants;Asian Restaurants;American Restaurants;Restaurants,yellow_pages_1_22,Mott,,21.0,new york
khao thai kitchen,"235 Sullivan St,New York",10012,(646) 726-4418,,Thai Restaurants;Asian Restaurants;Restaurants,yellow_pages_1_38,Sullivan,,235.0,new york
black tap craft burgers & beer,"529 Broome St,New York",10013,(917) 639-3089,http://blacktapnyc.com,Hamburgers & Hot Dogs;American Restaurants;Restaurants,yellow_pages_1_69,Broome,,529.0,new york
nam zhaou hand made noodle,"144 E Broadway,New York",10002,(212) 566-6933,,Asian Restaurants;Take Out Restaurants;Restaurants,yellow_pages_1_71,Broadway,E,144.0,new york
la panineria,"1 W 8th St,New York",10011,(917) 388-3257,http://www.lapanineria.com,Sandwich Shops;Italian Restaurants;Mediterranean Restaurants;Caterers;Restaurants,yellow_pages_1_98,8Th,W,1.0,new york
excellent pork chop house,"3 Doyers St Frnt 1,New York",10013,(212) 791-7007,http://www.taiwanporkchophouse.com,Steak Houses;Chinese Restaurants;Asian Restaurants;Take Out Restaurants;Restaurants,yellow_pages_1_104,Doyers,,3.0,new york
great new york noodletown,"28 Bowery,New York",10013,(212) 349-0923,http://www.greatnynoodletown.com;http://greatnynoodletown.com/menu,Chinese Restaurants;Asian Restaurants;Restaurants,yellow_pages_1_118,Bowery,,28.0,new york
zest,"249 Broome St,New York",10002,(212) 677-3158,http://zest249.com,Thai Restaurants;Japanese Restaurants;Sushi Bars;Asian Restaurants;Caterers;Restaurants,yellow_pages_1_123,Broome,,249.0,new york
domodomo,"138 W Houston St,New York",10012,(646) 707-0301,http://domodomonyc.com,Japanese Restaurants;Asian Restaurants;Restaurants,yellow_pages_1_124,Houston,W,138.0,new york
jewel bako,"239 E 5th St,New York",10003,(212) 979-1012,http://jewelbakonyc.com,Japanese Restaurants;Asian Restaurants;Sushi Bars;Restaurants,yellow_pages_1_135,5Th,E,239.0,new york
big wong king restaurant,"67 Mott St # A,New York",10013,(212) 964-0540,http://www.bigwongking.com;http://menupages.com/restaurants/big-wong-king,Chinese Restaurants;Family Style Restaurants;Take Out Restaurants;Asian Restaurants;Restaurants,yellow_pages_1_142,Mott,,67.0,new york
sticky's finger joint,"31 W 8th St,New York",10011,(212) 777-7131,http://www.stickysfingerjoint.com;http://stickysfingerjoint.happytables.com,American Restaurants;Take Out Restaurants;Caterers;Chicken Restaurants;Sandwich Shops;Health Food Restaurants;Restaurants,yellow_pages_1_163,8Th,W,31.0,new york
woodrow's,"43 Murray St,New York",10007,(212) 676-0300,http://www.woodrowsnyc.com,American Restaurants;Taverns;Bars;Bar & Grills;Sandwich Shops;Hamburgers & Hot Dogs;Steak Houses;Health Food Restaurants;Take Out Restaurants;Restaurants,yellow_pages_1_184,Murray,,43.0,new york
b&b,"25 W Houston St,New York",10012,(212) 334-7320,,American Restaurants;Restaurants,yellow_pages_1_215,Houston,W,25.0,new york
