name,address,zip,phone,website,cuisine,id,road_name,road_dir,road_number,city
caracas arepa bar,"93 1/2 E 7th St,New York",10009.0,(212) 529-2314,caracasarepabar.com,Venezuelan,yelp_3_11,1/2 E 7Th,,93.0,new york
emporio,"231 Mott St,New York",10012.0,(212) 966-1234,emporiony.com,Italian;Pizza,yelp_3_13,Mott,,231.0,new york
cowgirl sea horse,"259 Front St,New York",10038.0,(212) 608-7873,ordercowgirlseahorse.com,Tex-Mex;Seafood,yelp_3_15,Front,,259.0,new york
la esquina corner deli,"114 Kenmare St,New York",10012.0,(646) 613-7100,esquinanyc.com,Latin American;Mexican,yelp_3_17,Kenmare,,114.0,new york
the green table,"Chelsea Market 75 9th Ave,New York",10011.0,(212) 741-6623,cleaverco.com/green-table,Vegetarian;American (New);Breakfast & Brunch,yelp_3_20,Chelsea Market 75 9Th,,-1.0,new york
the eddy,"342 E 6th St,New York",10003.0,(646) 895-9884,theeddynyc.com,American (New),yelp_3_22,6Th,E,342.0,new york
vic’s,"31 Great Jones St,New York",10012.0,(212) 253-5700,vicsnewyork.com,Bars;Mediterranean;American (New),yelp_3_26,Great Jones,,31.0,new york
yakiniku west,"218 E 9th St,New York",10003.0,(212) 979-9238,yakinikuwest.com,Japanese;Barbeque,yelp_3_29,9Th,E,218.0,new york
upstate,"95 1st Ave,New York",10003.0,(917) 408-3395,upstatenyc.com,American (New);Seafood,yelp_3_31,1St,,95.0,new york
the spotted pig,"314 W 11th St,New York",10014.0,(212) 620-0393,thespottedpig.com,Burgers;Gastropubs,yelp_3_34,11Th,W,314.0,new york
carroll place,"157 Bleecker St,New York",10012.0,(212) 260-1700,carrollplacenyc.com,Gastropubs;Italian;Wine Bars,yelp_3_36,Bleecker,,157.0,new york
pure thai cookhouse,"766 9th Ave,New York",10019.0,(212) 581-0999,purethaishophouse.com,Thai,yelp_3_40,9Th,,766.0,new york
ovest pizzoteca,"513 W 27th St,New York",10001.0,(212) 967-4392,ovestnyc.com,Pizza,yelp_3_41,27Th,W,513.0,new york
la lanterna di vittorio,"129 MacDougal St,New York",10012.0,(212) 529-5945,lalanternacaffe.com,Italian,yelp_3_44,Macdougal,,129.0,new york
risotteria,"270 Bleecker St,New York",10014.0,(212) 924-6664,risotteria.com,Italian;Gluten-Free;Vegetarian,yelp_3_99,Bleecker,,270.0,new york
becco,"355 W 46th St,New York",10036.0,(212) 397-7597,becco-nyc.com,Italian,yelp_3_107,46Th,W,355.0,new york
barbuto,"775 Washington St,New York",10014.0,(212) 924-9700,barbutonyc.com,Italian;American (New),yelp_3_117,Washington,,775.0,new york
el cocotero,"228 W 18th St,New York",10011.0,(212) 206-8930,cocotero-restaurant.com,Latin American,yelp_3_118,18Th,W,228.0,new york
mark,"33 St Marks Pl,New York",10003.0,(212) 677-3132,stmarksburger.com,Burgers,yelp_3_125,St Marks,,33.0,new york
the stanton social,"99 Stanton St,New York",10002.0,(212) 995-0099,thestantonsocial.com,Tapas/Small Plates;Bars,yelp_3_129,Stanton,,99.0,new york
bistango,"415 3rd Ave,New York",10016.0,(212) 725-8484,bistangonyc.com,Italian;Gluten-Free,yelp_3_137,3Rd,,415.0,new york
bareburger,"535 Laguardia Pl,New York",10012.0,(212) 477-8125,bareburger.com,Burgers,yelp_3_143,Laguardia,,535.0,new york
blue hill,"75 Washington Pl,New York",10011.0,(212) 539-1776,bluehillfarm.com,American (New),yelp_3_146,Washington,,75.0,new york
calle ocho,"Inside the Excelsior Hotel 45 W 81st St,New York",10024.0,(212) 873-5025,calleochonyc.com,Cuban;Latin American,yelp_3_151,Inside The Excelsior Hotel 45 W 81St,,-1.0,new york
kefi,"505 Columbus Ave,New York",10024.0,(212) 873-0200,kefirestaurant.com,Greek;Mediterranean;Tapas/Small Plates,yelp_3_152,Columbus,,505.0,new york
yakitori totto,"251 W 55th St 2nd Fl,New York",10019.0,(212) 245-4555,tottonyc.com,Japanese,yelp_3_155,55Thst,W,251.0,new york
boqueria,"53 W 19th St,New York",10011.0,(212) 255-4160,boquerianyc.com,Spanish;Tapas Bars,yelp_3_156,19Th,W,53.0,new york
