name,phone,address,zip,cuisine,website,id,road_name,road_dir,road_number,city
Staropolska Restaurant,(773) 342-0779,3030 N Milwaukee Ave,60618,Polish,,yelp_2_4,Milwaukee,N,3030.0,
Kai Zan,(773) 278-5776,2557 W Chicago Ave,60622,Asian Fusion,,yelp_2_6,Chicago,W,2557.0,
The 3rd Coast,(312) 649-0730,1260 N Dearborn Pkwy,60610,Wine Bars,,yelp_2_8,Dearborn,N,1260.0,
Wasabi,(773) 227-8180,2115 N Milwaukee Ave,60647,Ramen,,yelp_2_9,Milwaukee,N,2115.0,
Xoco,(312) 661-1434,449 N Clark St,60654,Mexican,,yelp_2_11,Clark,N,449.0,
La Sirena Clandestina,(312) 226-5300,954 W Fulton Market,60607,Latin American,,yelp_2_14,Fulton Market,W,954.0,
The Dawson,(312) 243-8955,730 W Grand Ave,60654,American (Traditional),,yelp_2_15,Grand,W,730.0,
Moon’s Sandwich Shop,(312) 226-5094,16 S Western Ave,60612,Sandwiches,,yelp_2_19,Western,S,16.0,
Wildberry Pancakes and Cafe,(312) 938-9777,130 E Randolph St,60601,Breakfast & Brunch,,yelp_2_20,Randolph,E,130.0,
Volare Ristorante Italiano,(312) 410-9900,201 E Grand Ave,60611,Italian,,yelp_2_29,Grand,E,201.0,
Pl-zen,(312) 733-0248,1519 W 18th St,60608,Gastropubs,,yelp_2_35,18Th,W,1519.0,
Beatrix,(312) 284-1377,519 North Clark Street,60654,American (New),,yelp_2_40,Clark,N,519.0,
Sunset Pho Caffe,(773) 275-2327,5726 N Western Ave,60659,Lounges,,yelp_2_50,Western,N,5726.0,
Nookies,(312) 337-2454,1746 N Wells St,60614,Breakfast & Brunch,,yelp_2_51,Wells,N,1746.0,
Topo Gigio Ristorante,(312) 266-9355,1516 N Wells St,60610,Italian,,yelp_2_53,Wells,N,1516.0,
Farmhouse,(312) 280-4960,228 W Chicago Ave,60654,American (Traditional),,yelp_2_54,Chicago,W,228.0,
Briciola,(773) 772-0889,937 N Damen,60622,Italian,,yelp_2_55,Damen,N,937.0,
Pearl’s Southern Comfort,(773) 754-7419,5352 N Broadway St,60640,Southern,,yelp_2_56,Broadway,N,5352.0,
