id,cluster_id,source,number,title,length,artist,album,year,language
4,3,5,10,,unk.,Kathy Troccoli,Comfort,2005,English
5,4,5,2,,321266,Ernie Stadler Jazz Quintet,First ,2010,English
9,7,5,9,,462000,Wendy Saddington,"Blues Women Anthology, Volume 7",2007,English
10,6842,5,4,,195000,Λαυρέντης Μαχαιρίίτσας,Συλλογή  22: Μουσικοί βιότοποι,1997,Greek
11,5568,5,6,,188400,Anathema,Alternative ,1998,English
12,8,5,23,,129000,Byron Brizuela & Enrique Carbajal,Mexico,,English
19,13,5,16,,263497,Rye Rye, powRR,2011,English
29,3385,5,5,,26 6000,Diana Ross & Lionel Richie,"Motown  Yesterday, Today, Forever (Japan Edition)",2008,English
32,7301,5,13,,78000,The Doros,Live in Vancouver 1970,2010,English
35,4960,5,4,,388826,Ozzy Osbourne,Ozzmosis,2002,English
48,6133,5,7,,69000,服部隆之,スレイヤーズ: The  Picture,1995,Japanese
51,28,5,6,,230893,Saints & Sinners,Saints & ,,
55,30,5,13,,157533,Charlie Walker,Pick Me Up on  Way Down,,
57,4407,5,3,,287000,Kamikaze Mustang Pilot, Mustang Pilot,,English
58,31,5,11,,210120,Bonnie Tyler,"Seventies Top 100, Volume 2",2008,English
60,32,5,20,,201400,KC L.M.N.O.P.,Ta yeul…,1996,French
61,1949,5,18,,92960,TOMOSUKE, FREAKS 3rd Mix & drummania 2nd Mix soundtracks,2000,Japanese
64,33,5,33,,30000,Burgo & David Haig,Massive  Rock/Pop,,Englih
73,9318,5,67,,30000,Stephan Sechi,Funk,,English
77,3713,5,4,,195466,Jason McCoy,Honky  Sonatas,2001,English
96,49,5,4,,330946,,The Working Model (Reverse),2003,English
108,8684,5,A3,,267693,Georges Brassens,Volume 9 : Supplique pour être enterré à la  de Sète,1967,French
111,56,5,2,,181000,Younnat,Radiovision,,English
118,59,5,5,,420000,Telvin,,2006,Turkish
127,65,5,11,,182840,Agents & Vesa Haaja,On Stage / In Studio,2012,[Multiple languages]
133,67,5,10,,212000,Wind Hearse,Witch's Arrows,,English
136,1349,5,7,,187986,Sublime,Everything Under the Sun,2006,English
142,71,5,6,,263543,Amber Claire,Love and Such,2004,English
156,77,5,11,,158000,Macromassa, hechos Pérez,1993,Spanish
157,78,5,n.a.,,118373,Frederica von Stade,Canteloube : Chants d'Auvergne,,French
158,79,5,3,,262000,Melanie O'Reilly, Spirit: Tales of the Soul,1998,English
159,7682,5,2,,151000,Abstract Tribe Unique,Thynk Taynk -- Ocean Floor,,English
167,8591,5,8,,73000,The DJ's Project,Bring  Back,2005,English
168,83,5,8,,150000,Lowland Trio,Hollands Glorie: Lowland Trio,2002,Ducth
171,7453,5,6,,,Domain,One  Lightyears From Home,2001,English
173,86,5,3,,,Mind the Gap,,2005,[Multiple languages]
179,89,5,39,,430897,Daniel Stefanik,Berlinn Afterhour 3 - From Minimal to Techno - From Electro to House,,English
181,90,5,10,,84000,unk.,Mark Sparks flute with  Adams piano,,
186,2544,5,7,,311000,Antonio Piacentino BRomano,Italian Flute Concertos,1993,English
188,93,5,2,,443440,Marconi Union,A Lost ,2010,English
190,94,5,3,,242000,The All‐American Rejects,"Same Girl, New ",,English
192,96,5,unk.,,179000,The Mulcahy Family, Mulcahy Family,2000,English
194,97,5,3,,402000,Transatlantic,Live in Europe,2003,English
202,3925,5,4,,291680,"Ольга Арефьева и группа ""Ковчег""",А и Б,2006,Russian
205,8719,5,34,,30000,Giles Perring & Edwards, East Beats,,English
206,8499,5,2,,138760,Café Tacvba, viaje,2005,Spanish
213,1246,5,7,,256026,VLE,Book of Illusions: Chapter I & II,2001,Eng lish
215,109,5,2,,286000,Luna Negra, Demo,2009,English
218,110,5,6,,,Paris Hilton,Stars Are Blind,2006,English
