id,cluster_id,source,number,title,length,artist,album,year,language
6,5,3,6,"Try (acoustic) - 2008-02-15: Le Grand Rex, Paris, France",,Neil Young,,,English
21,3118,3,6,Cállate - Los vaqueros: el regreso: Deluxe Edition,4.367,the singer Wisin & Yandel,,'11,Spanish
25,5893,3,9,Fish Tail Blues - The King & Mister Jelly Lord,3.085,Jelly Roll Morton,,'89,English
39,519,3,13,Mu sõber tuul - Uus Laine,4.567,group Laine,,'00,Estonian
44,25,3,2,Fried Bananas - Live at the Amsterdam Paradiso,12.3,artist Dexter Gordon,,'94,English
54,2175,3,5,Bury Me (demo) - Finch,3.833,Finch,,'08,English
63,7765,3,5,Yo Quisiera Ser El Cóndor - Ya No Soy El Niño Aquel,5.025,by Jerry Rivera,,'97,Spanish
65,34,3,7,Introduction et Variations sur une Ronde Populaire - Encore!,8.542,compilation Gabriel Pierné,,'98,Engilsh
68,6393,3,6,Le Marchand de Poisson - Planet Jazz,2.895,Sidney Bechet,,,[Multiple languages]
74,8711,3,1,"Mind 2 Motion - Bluffers Guide, Volume 6",4.722,Roots Manuva,,'05,English
78,9109,3,2,Who Dat Girl (Promise Land club mix),5.417,the Flo Rida feat. Akon,Dat Girl,'10,English
86,44,3,13,"I Don't Want to Set the World on Fire - The Gals of the Big ""D"" Jamboree",2.642,Lovett Sisters,,'01,English
87,8013,3,4,Got to Hurry (take 4) - The Yardbirds Story,2.609,album by Yardbirds,,'02,English
94,47,3,8,Mindsweeping - Cinematograph,0.85,the artist Scrooge,,'97,[Multiple languages]
98,50,3,10,Mi apuesta - Es,4.283,Eruca Sativa,,'10,Spanish
105,444,3,3,Little for a Lot - Four Winds the Walker,4.359,Spires That in the Sunset Rise,,'05,English
106,5733,3,4,The Solid Rock - World's Greatest Praise & Worship,3.1,artist name Edward Mote & William B. Bradbury,,,English
109,54,3,2,Why Not - The Lizzi eMcGuire Movie,2.981,band Hilary Duff,,' 03,English
119,60,3,53,慈愛の言葉集/日常会話篇 - 「ハヤテのごとく!」 キャラクターCD 2,0.104,マリア starring 田中理恵,,'07,Japanese
124,9645,3,12,Butta-Few-Co - This Is My First Album,4.033,the great band of Kwest Tha Madd Lad,,'96,English
139,1215,3,6,Gitme Durnam - Gurbeti Ben mi Yarattım,4.167,Arif Sağ,,'98,Turkish
140,69,3,1,Disorsder - Unknown Pleasures,3.539,by Joy Division,,'88,English
145,4877,3,2,Central Booking - Febuary,3.083,Bishop Allen,,'06,English
