id,cluster_id,source,number,title,length,artist,album,year,language
1,1,2,9,Daniel Balavoine - L'enfant aux yeux d'Italie,219,,De vous à elle en passant par moi,75,French
3,2,2,17,Action PAINTING! - Mustard Gas,129,,There and Back Again Lane,95,English
7,2136,2,11,Bruce Maginnis - Sttreet Hype,177,,Groove City,05,English
8,6,2,9,Luce Dufault - Ballade à donner,242,,Luce Dufault,96,French
17,11,2,14,Marlene Dietrich - Wo ist der Mann?,188,,Die frühen Aufnahmen,,[Multiple languages]
24,2142,2,12,Al Hirt - Tansy,145,,Greatest Hits,01,Engliish
26,16,2,3,Clouseau - Anne,162,,"De Pre Historie 1989, Volume 3",00,[Multiple languages]
27,5498,2,2,Tony Rice - Urge for Going,350,,Night Flyer,08,English
31,18,2,18,"Tabu Recz - Du Ikk' Sej, Din Pik Er Ikk' Lang, Vi Skyder Dig",240,,Tabu Recz,,
36,20,2,2,Wayanay - Andes Cosmos,249,,Treasures Of The Incas (Andes Cosmos),,
37,21,2,4,Special Feature Including A Hybrid Documentary,,Hybrid,Morning_Sci-Fi,3,English
42,1085,2,10,CharlyGarcíaNobombardeenBuenosAires,242,,Oro: Grandes éxitos,03,Spanish
43,83,2,,Lowland Trio - Van mij kan je de pot op,150,,Hollands Glorie: Lowland Trio,02,Dutch
45,3059,2,1 1,Power of Dreams - Sky,344,,Become Yourself,,English
46,26,2,13,Amikaeyla and Trelawny Rose - Wonderful World,333,,"To Eva, With Love",11,English
59,6178,2,10,Sinkhole - Wreck on the Highway,109,,Groping for Trout,92,English
69,36,2,8,Selffish - Sound Judgement,319,,electronica@*.lv,03,English
71,9071,2,5,Sam Cooke - You Send Me,163,,The Greatest Soul Collection,06,English
72,37,2,12,Domenico Modugno - La distania es como el viento,240,,Románticos Inolvidables Vol 2,,Spanish
75,38,2,2,Lark Daddy - Flip Flop,270,,Eleven Phases: Detroit Compilation,98,English
81,42,2,B1,Uriah Heep - Southern Star,266,,Into the Wild,11,English
83,43,2,8,Guns N’ Roses - Estranged,681,,Revolution Calling,91,English
85,5503,2,22,Игорь Фёдорович Стравинский - Firebird: Finale (Philharmonia Orchestra feat. conductor: Esa-Pekka Salonen),188,,Ballet- Hits,95,English
97,5803,2,11,Carbona -  1001 Doses (Até Você Voltar),151,,Taito Não Engole Fichas,03,Portuguese
99,5404,2,4,Dimitri From Paris - Nothing to Lose,297,,Sacrebleu,98,French
101,51,2,3,Tropical Dudes - Busybodies,227,,Tropical Monsters,08,English
103,8680,2,6,Uroš Rakovec Trio - Tako lepo bo,169,,Poganjki,09,
115,404,2,4,Пётр Ильич Чайковский - Pas d'action,623,,Dornröschen / Der Zauberladen,,
117,58,2,1,Molly Half Head - Vivid Whitsun,276,,Sulk,93,English
122,1096,2,6,Sacred Spirit - Yane-Heja-Hee,290,,More Chants and Dances of the Native Americans,00,English
