source_id,target_id,pair_id,label,cosine_tfidf,road_dir_lev,road_dir_jaccard,road_dir_relaxed_jaccard,road_dir_overlap,road_dir_containment,road_dir_token_jaccard,cuisine_lev,cuisine_jaccard,cuisine_relaxed_jaccard,cuisine_overlap,cuisine_containment,cuisine_token_jaccard,city_lev,city_jaccard,city_relaxed_jaccard,city_overlap,city_containment,city_token_jaccard,road_number_sim,road_number_num_equal,name_lev,name_jaccard,name_relaxed_jaccard,name_overlap,name_containment,name_token_jaccard,address_lev,address_jaccard,address_relaxed_jaccard,address_overlap,address_containment,address_token_jaccard,website_lev,website_jaccard,website_relaxed_jaccard,website_overlap,website_containment,website_token_jaccard,road_name_lev,road_name_jaccard,road_name_relaxed_jaccard,road_name_overlap,road_name_containment,road_name_token_jaccard,zip_sim,zip_num_equal
yellow_pages_1_8518,yelp_2_4,yellow_pages_1_8518-yelp_2_4,True,0.818632706405501,1.0,1.0,1.0,1.0,1.0,1.0,0.07175925925925929,0.0,0.0,-1.0,0.5,0.13671875,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9183673469387755,0.8,0.8,-1.0,1.0,0.7450980392156862,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
yellow_pages_1_12177,yelp_2_4,yellow_pages_1_12177-yelp_2_4,False,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.10197368421052636,0.0,0.0,-1.0,0.5,0.13671875,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.9001114827201784,0.0,0.09090909090909094,0.0,0.0,0.0,0.0,0.375,0.25714285714285706,0.0,0.0,-1.0,0.0,0.32936507936507936,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.2222222222222222,0.0,0.0,0.0,0.5,0.19999999999999996,0.5128681005015681,0.0
yellow_pages_1_1734,yelp_2_4,yellow_pages_1_1734-yelp_2_4,False,0.015694778466383355,0.0,0.0,0.0,0.0,0.0,0.0,0.07175925925925929,0.0,0.0,-1.0,0.5,0.13671875,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.9001114827201784,0.0,0.38235294117647056,0.16666666666666666,0.16666666666666666,0.0,0.5,0.5294117647058824,0.24489795918367346,0.0,0.0,-1.0,0.0,0.21212121212121215,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4054596924811765,0.0
yellow_pages_1_21163,yelp_2_4,yellow_pages_1_21163-yelp_2_4,False,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.04613095238095236,0.0,0.0,-1.0,0.5,0.11458333333333329,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.9001114827201784,0.0,0.09090909090909094,0.0,0.0,0.0,0.0,0.368421052631579,0.2678571428571429,0.125,0.125,-1.0,0.25,0.4041666666666667,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.4,0.6300377057075399,0.0
yellow_pages_1_596,yelp_2_4,yellow_pages_1_596-yelp_2_4,False,0.014780146922489284,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.07175925925925929,0.0,0.0,-1.0,0.5,0.13671875,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.9062801932367149,0.0,0.5454545454545454,0.3333333333333333,0.3333333333333333,0.0,0.5,0.6428571428571428,0.20571428571428574,0.0,0.0,-1.0,0.0,0.24637681159420297,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.375,0.23076923076923073,0.4055771557445409,0.0
yellow_pages_1_7141,yelp_2_6,yellow_pages_1_7141-yelp_2_6,True,0.7707570983500808,1.0,1.0,1.0,1.0,1.0,1.0,0.14800347222222227,0.125,0.125,-1.0,0.5,0.4375,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,0.2592592592592593,0.5,0.5,0.0,1.0,0.46153846153846156,0.8901098901098901,1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
yellow_pages_1_7300,yelp_2_6,yellow_pages_1_7300-yelp_2_6,False,0.1618631267994778,0.0,0.0,0.0,0.0,0.0,0.0,0.19057377049180335,0.16666666666666666,0.16666666666666666,-1.0,0.5,0.3625,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.9516164994425864,0.0,0.4444444444444444,0.3333333333333333,0.3333333333333333,0.0,0.5,0.4444444444444444,0.35467980295566504,0.1,0.1,-1.0,0.25,0.59375,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.1428571428571429,0.0,0.0,0.0,0.25,0.11111111111111116,0.9998003124522805,0.0
yellow_pages_1_20126,yelp_2_6,yellow_pages_1_20126-yelp_2_6,False,0.10625417123457045,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.11624999999999996,0.125,0.125,-1.0,0.5,0.37499999999999994,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.6436640654031958,0.0,0.36363636363636365,0.3333333333333333,0.3333333333333333,0.0,0.5,0.36363636363636365,0.24107142857142858,0.0,0.0,-1.0,0.0,0.38095238095238104,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.18181818181818177,0.0,0.0,0.0,0.8333333333333334,0.5,0.7933233881103685,0.0
yellow_pages_1_13431,yelp_2_6,yellow_pages_1_13431-yelp_2_6,False,0.12309268296470706,0.0,0.0,0.0,0.0,0.0,0.0,0.19057377049180335,0.16666666666666666,0.16666666666666666,-1.0,0.5,0.3625,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.9054254923820141,0.0,0.30000000000000004,0.25,0.25,0.0,0.5,0.41666666666666663,0.30857142857142855,0.0,0.0,-1.0,0.0,0.24166666666666675,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.25,0.11111111111111116,0.5123512621427648,0.0
yellow_pages_1_18035,yelp_2_6,yellow_pages_1_18035-yelp_2_6,False,0.12672736038433574,0.5,0.0,0.0,0.0,1.0,0.5,0.11397058823529414,0.1111111111111111,0.1111111111111111,-1.0,0.5,0.37499999999999994,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.9991824600520253,0.0,0.26086956521739135,0.2,0.2,0.0,0.5,0.4545454545454546,0.3214285714285714,0.0,0.0,-1.0,0.0,0.26136363636363646,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.08333333333333337,0.7931706858679948,0.0
yellow_pages_1_6329,yelp_2_8,yellow_pages_1_6329-yelp_2_8,True,0.8208601154339108,1.0,1.0,1.0,1.0,1.0,1.0,0.10652920962199318,0.0,0.0,-1.0,0.0,0.4097222222222222,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7912087912087913,0.5,0.5,-1.0,0.75,0.5075757575757576,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
yellow_pages_1_7580,yelp_2_8,yellow_pages_1_7580-yelp_2_8,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15656565656565657,0.14285714285714285,0.14285714285714285,-1.0,0.5,0.46875,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.9772946859903382,0.0,0.23076923076923073,0.0,0.0,0.0,0.0,0.46153846153846156,0.2337662337662337,0.0,0.0,-1.0,0.0,0.1766666666666667,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.25,0.0,0.0,0.0,0.4,0.19999999999999996,0.9999412683683178,0.0
yellow_pages_1_17765,yelp_2_8,yellow_pages_1_17765-yelp_2_8,False,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.21088435374149656,0.16666666666666666,0.16666666666666666,-1.0,0.5,0.46875,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.9647714604236344,0.0,0.3076923076923077,0.0,0.0,0.0,0.0,0.4,0.24725274725274723,0.125,0.125,-1.0,0.25,0.5357142857142857,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.375,0.0,0.0,0.0,0.6,0.33333333333333337,0.7932059248470041,0.0
