P_model,R_model,F1_model_micro,F1_model_macro,F1_model_micro_boot,F1_model_micro_boost_graph,F1_model_macro_boot,F1_pairwise_model,Query,Query_Label,Strategy,Labeled_Set_Size
0.117,0.974,0.209,0.26766666666666666,0.212,0.209,0.29100000000000004,"{'usapartsdirect_tweakers': 0.335, 'usapartsdirect_sillworks': 0.144, 'usapartsdirect_harddrivesdirect': 0.174, 'harddrivesdirect_tweakers': 0.372, 'sillworks_tweakers': 0.338, 'harddrivesdirect_sillworks': 0.243}",harddrivesdirect_9449672-tweakers_16217005,False,disagreement,13
0.272,0.841,0.412,0.5918333333333333,0.213,0.412,0.293,"{'usapartsdirect_tweakers': 0.807, 'usapartsdirect_sillworks': 0.3, 'usapartsdirect_harddrivesdirect': 0.381, 'harddrivesdirect_tweakers': 0.837, 'sillworks_tweakers': 0.825, 'harddrivesdirect_sillworks': 0.401}",usapartsdirect_6073158-sillworks_6316975,False,disagreement,14
0.24,0.945,0.382,0.6198333333333333,0.213,0.382,0.29383333333333334,"{'usapartsdirect_tweakers': 0.873, 'usapartsdirect_sillworks': 0.26, 'usapartsdirect_harddrivesdirect': 0.325, 'harddrivesdirect_tweakers': 0.97, 'sillworks_tweakers': 0.918, 'harddrivesdirect_sillworks': 0.373}",harddrivesdirect_491206-sillworks_16352405,True,disagreement,15
0.182,0.989,0.308,0.5766666666666667,0.214,0.308,0.29600000000000004,"{'usapartsdirect_tweakers': 0.792, 'usapartsdirect_sillworks': 0.201, 'usapartsdirect_harddrivesdirect': 0.256, 'harddrivesdirect_tweakers': 0.962, 'sillworks_tweakers': 0.938, 'harddrivesdirect_sillworks': 0.311}",harddrivesdirect_1976627-sillworks_15796917,True,disagreement,16
0.196,0.941,0.325,0.566,0.214,0.325,0.29650000000000004,"{'usapartsdirect_tweakers': 0.835, 'usapartsdirect_sillworks': 0.223, 'usapartsdirect_harddrivesdirect': 0.283, 'harddrivesdirect_tweakers': 0.832, 'sillworks_tweakers': 0.883, 'harddrivesdirect_sillworks': 0.34}",harddrivesdirect_4770004-tweakers_13536868,False,disagreement,17
0.377,0.915,0.534,0.6881666666666667,0.215,0.534,0.30016666666666664,"{'usapartsdirect_tweakers': 0.859, 'usapartsdirect_sillworks': 0.409, 'usapartsdirect_harddrivesdirect': 0.513, 'harddrivesdirect_tweakers': 0.922, 'sillworks_tweakers': 0.915, 'harddrivesdirect_sillworks': 0.511}",usapartsdirect_17453429-sillworks_16889485,False,disagreement,18
0.472,0.876,0.614,0.6823333333333333,0.215,0.614,0.29950000000000004,"{'usapartsdirect_tweakers': 0.784, 'usapartsdirect_sillworks': 0.552, 'usapartsdirect_harddrivesdirect': 0.608, 'harddrivesdirect_tweakers': 0.794, 'sillworks_tweakers': 0.761, 'harddrivesdirect_sillworks': 0.595}",usapartsdirect_5144933-harddrivesdirect_16846529,False,disagreement,19
0.609,0.822,0.699,0.7283333333333334,0.216,0.699,0.301,"{'usapartsdirect_tweakers': 0.784, 'usapartsdirect_sillworks': 0.684, 'usapartsdirect_harddrivesdirect': 0.703, 'harddrivesdirect_tweakers': 0.775, 'sillworks_tweakers': 0.749, 'harddrivesdirect_sillworks': 0.675}",harddrivesdirect_10343632-sillworks_11259150,False,disagreement,20
0.786,0.667,0.722,0.7366666666666667,0.217,0.722,0.3016666666666667,"{'usapartsdirect_tweakers': 0.776, 'usapartsdirect_sillworks': 0.713, 'usapartsdirect_harddrivesdirect': 0.709, 'harddrivesdirect_tweakers': 0.762, 'sillworks_tweakers': 0.749, 'harddrivesdirect_sillworks': 0.711}",harddrivesdirect_1690869-sillworks_4657701,False,disagreement,21
0.919,0.668,0.774,0.8193333333333332,0.22,0.774,0.311,"{'usapartsdirect_tweakers': 0.873, 'usapartsdirect_sillworks': 0.733, 'usapartsdirect_harddrivesdirect': 0.73, 'harddrivesdirect_tweakers': 0.932, 'sillworks_tweakers': 0.925, 'harddrivesdirect_sillworks': 0.723}",harddrivesdirect_396873-tweakers_12082021,True,disagreement,22
