id;cluster_id;title;description;brand;Part Number;Sub-Category;Category;Generation;Capacity;Spindle Speed;Manufacturer;price
2023117;5455637; 633967-B21 HP Opteron 6176  DL585 G7 ; Description:2 x HPE AMD Opteronï¿½ 6176 DL585 G7(2.3GHz/12-core/12MB/80W)Full 2 Processor Option KitPart Number(s) Manufacturer Part# 633967-B21;HP Enterprise;633967-B21;AMD Opteron;Proliant Processor;G7;;;;USD, $295.95
6916463;46209; GB0750EAFJK HP 750-GB 7.2K 3.5 SATA ; Description:5 x HPE 750GB Hot-Plug Serial ATA (SATA) 3G 7200RPM 3.5-inch LFF MDL Hard Drive NCQ (Native Command Queing)In tray (as pictured)For G1-G7 Proliant SATA ServersGenuine serial number and firmwareGenuine Certified DrivePart Number(s) Option Part# 458930-B21 SmartBuy 458930-S21 Spare 459320-001 Assembly 482483-003 507515-001 Model# GB0750EAFJK GB0750EAMYB;HP Enterprise;GB0750EAFJK-5Pack;7.2K;Proliant HardDrive;SATA;750GB;7200RPM;;$933.21, USD
4244414;795899; 508035-001  500-GB 3G 7.2K 2.5 SATA HDD ; Description:HP 500GB 2.5-inch SFF Hot-Plug Serial ATA (SATA) 7200 RPM 3Gb/s Midline (MDL) G1-G7 Hard DriveGenuine HPE serial number and firmwareGenuine Certified DrivePart Number(s)Option Part# 507750-B21SmartBuy 507750-S21Spare 508035-001Assembly 507749-001Assembly 614828-002Model# MM0500EBKAEModel# MM0500EANCR;HP Enterprise;508035-001;7.2K;Proliant HardDrive;SATA;500GB;7200RPM;;CAD, $177.92 CAD
8104118;15078447; 08W570 Dell 73-GB U320 SCSI 10K ,  New 08W570  2 Pack Wholesale Price 08W570-2Pack;Description:2 x 73GB Ultra320 SCSI10K Dell Hard Drive in Dell 9D9883.5-inch Hot-Plug Hard Drive Tray (as pictured)Genuine Dell serial number and firmwareGenuine Dell Certified Enterprise Class Hard DrivePart Number(s)Dell Part# 08W570 or 8W570 ;Dell;08W570-2Pack;10K;Dell HardDrive;Ultra320;73GB;10000RPM;Dell;
13608074;14247520; 231117-B21 HP PIII P1266 1.26GHz ML330 G2,  Price 231117-B21 New 231117-B21 G2 Wholesale;Description:Pentium III P1266 ML330 G2/ML350 G2/ML370 G2(1.26GHz/133MHz/512K/43W)Full Processor Option KitPart Number(s) Option Part# 231117-B21 Spare Part# 230991-001   ;HP Enterprise;231117-B21;Xeon;Proliant Processor;G2;;;;
11365514;5608216; W347K Dell 600-GB 6G 15K 3.5 SAS w/F238F,  New W347K w/F238F 2 Pack Wholesale Price W347K-2Pack;Description:2 x Dell 600GB 15K 3.5-inch 6Gb/s Hot-Plug SAS Hard Drive in Dell F238F 3.5-inch Hot-Plug Hard Drive Tray (as pictured)  Dell serial number and firmwarePart Number(s) Dell Part# W347K Dell Part# 0W347K Dell Part# J762N Dell Part# 0J762N Dell Part# 342-2082 Seagate Part# ST3600057SS ;Dell;W347K-2Pack;15K;Dell HardDrive;SAS;600GB;15000RPM;Dell;
15197137;14269885;  300876-B21 BL20PG2 Xeon  512 1P; Description: BL20PG2 Xeon 2.8GHz 512 1P Blade ;HP Enterprise;300876-B21;BL20;Proliant Server;G2;;;;USD, $661.55
16754516;1265754; 484311-B21 HP Xeon X5270 3.50GHz DL380 G5,  Price 484311-B21 G5 Wholesale 484311-B21;Description:Intel Xeon E5240 DL380 G5(3.00GHz/2-core/6MB/80W)Full Processor Option KitPart Number(s)Option Part# 484311-B21 ;HP Enterprise;484311-B21;Xeon;Proliant Processor;G5;;;;
6971824;98529; 454141-003 HP  1.5G 7.2K 3.5 SATA ; Description:10 x 750GB Hot-Plug SATA 1.5GB/s Hard Drive 7200 RPM 3.5-inch form factor 1.0 inch high NCQ (Native Command Queing)In HPE tray (as pictured)For G1-G7 Proliant ServersGenuine serial number and firmwareGenuine Certified DrivePart Number(s)Option Part# 432341-B21Spare 432401-001Spare 432401-002Assembly 454141-003Assembly 432337-005Model# GB0750C8047Model# GB0750C4414;HP Enterprise;454141-003-10Pack;7.2K;Proliant HardDrive;SATA;750GB;7200RPM;;CAD, $1,048.87 CAD
467156;429818; 3R-A3851-AA HP  U320 SCSI 15K,  Price 3R-A3851-AA-2Pack New 3R-A3851-AA 15K 2 Pack Wholesale;Description:2 x 72.8GB Ultra320 3.5-inch SCSI Hot-Plug 15K Hard DriveIn HPE Hot-Plug Hard Drive tray (as pictured)Genuine HPE serial number and firmwarePart Number(s) Option Part# 286778-B22 Spare Part# 289243-001 2-5-2 Part# 3R-A3851-AA ;HP Enterprise;3R-A3851-AA-2Pack;15K;Proliant HardDrive;Ultra320;72.8GB;15000RPM;Hewlett-Packard;
